track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song
BIRDS OF A FEATHERBillie Eilish,,,49,,,210373,5/17/24 0:00,93,HIT ME HARD AND SOFT,Billie Eilish,BIRDS OF A FEATHER
omwAshe,,,,49,,171161,10/12/22 0:00,31,Rae,Ashe,omw
Your BonesChelsea Cutler,48,,,,,159400,8/30/23 0:00,51,Stellaria,Chelsea Cutler,Your Bones
bloody valentinemgk,,48,,,,205158,6/5/20 0:00,63,Tickets To My Downfall,mgk,bloody valentine
RememberBecky Hill,,,48,,David Guetta,160766,6/18/21 0:00,66,Only Honest On The Weekend (Deluxe),Becky Hill,Remember
Go ThereTrousdale,,,,48,,202316,9/15/23 0:00,30,Out Of My Mind,Trousdale,Go There
Don't Forget MeMaggie Rogers,47,,,,,265360,2/8/24 0:00,53,Don't Forget Me,Maggie Rogers,Don't Forget Me
Let's Twist AgainChubby Checker,,47,,,,137360,1/1/61 0:00,63,It's Pony Time/Let's Twist Again,Chubby Checker,Let's Twist Again
Five More MinutesThe War And Treaty,,,47,6,,223880,7/16/20 0:00,33,Hearts Town,The War And Treaty,Five More Minutes
Modern GirlBleachers,,,,47,,223100,9/20/23 0:00,52,Bleachers,Bleachers,Modern Girl
Bad LuckZach Top,46,,,,,199247,10/28/22 0:00,70,Cold Beer & Country Music,Zach Top,Bad Luck
On pourraitSARA'H,,46,,,,195982,10/22/21 0:00,32,,SARA'H,On pourrait
If It Wasn't For The NightsABBA,,,46,,,309320,1/1/79 0:00,52,Voulez-Vous,ABBA,If It Wasn't For The Nights
Off The HighwayGabby Barrett,45,,,,,178800,2/2/24 0:00,21,Chapter & Verse,Gabby Barrett,Off The Highway
123 (Version Française)Craig Smart,,45,,,,186038,11/13/12 0:00,14,,Craig Smart,123 (Version Française)
One Of Your GirlsTroye Sivan,,,45,,,181481,10/13/23 0:00,70,Something To Give Each Other,Troye Sivan,One Of Your Girls
But Daddy I Love HimTaylor Swift,,,,45,,340428,4/18/24 0:00,68,THE TORTURED POETS DEPARTMENT,Taylor Swift,But Daddy I Love Him
