track_id_stable,Zach,Bryce,Maggie,Jamie,Featured Artist,Duration,Release Date,Popularity,Album,Artist,Song,Popularity_ID
so americanOlivia Rodrigo,,,,68,,169717.0,2024-03-22 00:00:00,75.0,GUTS (spilled),Olivia Rodrigo,so american,5Jh1i0no3vJ9u4deXkb4aV
Girl On FireKameron Marlowe,67,63,,,,173706.0,2022-06-10 00:00:00,57.0,We Were Cowboys,Kameron Marlowe,Girl On Fire,3aMDzPibtzIRWzASMH44JF
We Didn’t Start The Fire (Bonus Track)Fall Out Boy,,67,,,,215530.0,2023-03-24 00:00:00,58.0,So Much (For) Stardust,Fall Out Boy,We Didn’t Start The Fire (Bonus Track),22H7neCMj03ifZXlix1B6h
Brandy (You're a Fine Girl)Looking Glass,,,67,,,186826.0,1972-01-01 00:00:00,76.0,Looking Glass,Looking Glass,Brandy (You're a Fine Girl),2BY7ALEWdloFHgQZG6VMLA
You Know ItColony House,,,,67,,182266.0,2016-06-24 00:00:00,56.0,Only The Lonely,Colony House,You Know It,169pWCmfvVazzcL4EXFPgL
What You've Been ThroughBRELAND,66,,,,,168637.0,2024-10-18 00:00:00,24.0,,BRELAND,What You've Been Through,7rFYrQfPCNVsZOY7ld2YVX
I'm Just Ken (From Barbie The Album)Ryan Gosling,,66,,,,222633.0,2023-07-21 00:00:00,54.0,,Ryan Gosling,I'm Just Ken (From Barbie The Album),7jPdqwZug0ovtDZsY5uK4T
Have A Nice DayStereophonics,,,66,,,205066.0,2001-01-01 00:00:00,63.0,Just Enough Education To Perform,Stereophonics,Have A Nice Day,6JWddKPdqvDc2WkPEi9grC
Stubborn LoveThe Lumineers,,,,66,,279000.0,2012-04-03 00:00:00,77.0,The Lumineers,The Lumineers,Stubborn Love,4wG82w1L31yQhgGiWt6gIb
RiskGracie Abrams,65,49,,46,,191586.0,2024-06-20 00:00:00,79.0,The Secret of Us,Gracie Abrams,Risk,5JiU3gLHz9AvUnrhXgOmos
ForeverDrake,,65,,,Kanye West,357706.0,2009-01-01 00:00:00,75.0,Relapse: Refill,Drake,Forever,5UsLjwBaTHBX4ektWIr4XX
augustTaylor Swift,,,65,,,261922.0,2020-07-24 00:00:00,82.0,folklore,Taylor Swift,august,3hUxzQpSfdDqwM3ZTFQY0K
L.A.Couch,,,,65,,189470.0,2023-11-03 00:00:00,39.0,,Couch,L.A.,19JPKFRxR6Kf90mQR3ixOi
She Calls Me Back (with Kacey Musgraves)Noah Kahan,64,,,,Kacey Musgraves,243962.0,2023-10-06 00:00:00,69.0,Stick Season (Forever),Noah Kahan,She Calls Me Back (with Kacey Musgraves),0MpQPb1hrwk4dPiyWEGmer
Love in This Club (feat. Young Jeezy)USHER,,64,55,,Jeezy,259720.0,2008-05-27 00:00:00,73.0,Here I Stand,USHER,Love in This Club (feat. Young Jeezy),5j0McHPthKpOXRr3fBq8M0
